|------------------------------------------------------------------------------------------------------------------------------------
|                                COMPONENT  CENTER  REPORT
|------------------------------------------------------------------------------------------------------------------------------------
|             |                              |                              |                              |        MM         |   | 
|             |                              |                              |                              |-------------------|   | 
|   refdes    |         device type          |      value & tolerance       |        package symbol        |    x    |    y    |ang|m
|------------------------------------------------------------------------------------------------------------------------------------
PC746          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         422.558    91.261 0   N
PC747          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         422.558    99.516 0   N
PC750          C_AK_C0402_1UF/16V             1UF/16V                        AK_C0402                         416.941    93.726 180 N
PC753          C_AK_C0402_1UF/16V             1UF/16V                        AK_C0402                         416.941    85.471 180 N
PC756          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         419.951   100.832 0   N
PC757          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         419.951    92.577 0   N
PC758          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            404.951   101.016 0   N
PC759          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            404.951    76.606 0   N
PC761          C_C0402_2.2UF/6.3V             2.2UF/6.3V                     C0402                            418.086   125.599 0   N
PC763          C_C0402_2.2UF/6.3V             2.2UF/6.3V                     C0402                            418.081   109.088 0   N
PC766          C_C0402_0.22UF/16V             0.22UF/16V                     C0402                            422.656   104.647 180 N
PC767          C_C0402_0.22UF/16V             0.22UF/16V                     C0402                            422.656   121.157 180 N
PC768          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         422.558   107.771 0   N
PC769          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         422.558   124.281 0   N
PC772          C_AK_C0402_1UF/16V             1UF/16V                        AK_C0402                         416.941   118.491 180 N
PC775          C_AK_C0402_1UF/16V             1UF/16V                        AK_C0402                         416.941    77.216 180 N
PC778          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         419.951   125.597 0   N
PC779          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            404.933    84.796 0   N
PC780          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         419.951    84.322 0   N
PC781          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            399.771   128.778 270 N
PC783          C_C0402_2.2UF/6.3V             2.2UF/6.3V                     C0402                            418.085   117.343 0   N
PC784          C_C0402_2.2UF/6.3V             2.2UF/6.3V                     C0402                            418.090   133.855 0   N
PC787          C_C0402_0.22UF/16V             0.22UF/16V                     C0402                            422.656   112.902 180 N
PC789          C_C0402_0.22UF/16V             0.22UF/16V                     C0402                            422.656   129.412 180 N
PC790          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         422.558   116.026 0   N
PC791          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         422.558   132.536 0   N
PC794          C_AK_C0402_1UF/16V             1UF/16V                        AK_C0402                         441.987    69.256 180 N
PC796          C_AK_C0402_0.1UF/25V           0.1UF/25V                      AK_C0402                         457.073    74.930 90  N
PC797          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            426.463    74.925 90  N
PC799          C_C0402_2.2UF/6.3V             2.2UF/6.3V                     C0402                            442.362    76.622 180 N
PC801          C_C0402_0.22UF/16V             0.22UF/16V                     C0402                            447.442    72.050 180 N
PC802          C_AK_C0402_0.1UF/16V           0.1UF/16V                      AK_C0402                         447.452    75.047 0   N
PC803          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            404.942    92.943 0   N
PC804          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            320.550   109.222 90  N
PC806          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            328.170   109.476 90  N
PC807          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            323.090   109.476 90  N
PC812          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            320.546   106.428 270 N
PC813          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            328.166   106.174 270 N
PC816          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            334.137   111.256 180 N
PC817          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            326.900   109.476 90  N
PC818          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            335.790   106.428 270 N
PC824          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            334.516   106.428 270 N
PC826          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            399.898    92.710 270 N
PC827          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            399.771   117.348 270 N
PC829          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            399.796   114.427 90  N
PC830          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            399.771   120.269 90  N
PC832          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            399.898   109.220 270 N
PC833          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            399.898   100.965 270 N
PC835          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            326.896   106.174 270 N
PC836          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            319.276   106.428 270 N
PC837          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            324.360   109.476 90  N
PC840          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            329.436   106.174 270 N
PC842          C_C0603_22UF/6.3V              22uF/6.3V                      C0603                            329.440   109.476 90  N
